timesteps,episode_reward,episode_length
41051,-14.991298,76.0
41214,-29.696505,163.0
41246,-6.552849,32.0
41299,-12.438676,53.0
41410,-20.800493,111.0
41486,-21.930809,76.0
41522,-8.790704,36.0
41555,-6.290547,33.0
41590,-8.811956,35.0
41642,-11.529547,52.0
41702,-14.902366,60.0
41740,-12.088935,38.0
41843,-21.964016,103.0
41877,-7.050962,34.0
41917,-8.946307,40.0
42020,-19.539643,103.0
42065,-11.410208,45.0
42208,-25.140405,143.0
42276,-16.058352,68.0
42455,-28.824381,179.0
42504,-12.138277,49.0
42567,-12.663844,63.0
42605,-10.173829,38.0
42637,-5.988841,32.0
42675,-10.985089,38.0
42710,-7.975308,35.0
42771,-14.680941,61.0
42803,-6.509916,32.0
42834,-6.056735,31.0
42868,-6.422215,34.0
42901,-6.216152,33.0
42937,-8.415344,36.0
42970,-7.021413,33.0
42998,-5.048705,28.0
43033,-7.662375,35.0
43081,-13.401257,48.0
43241,-29.315225,160.0
43281,-9.729701,40.0
43352,-13.713576,71.0
43385,-6.393181,33.0
43452,-17.562334,67.0
43488,-8.833693,36.0
43550,-11.50133,62.0
43590,-10.879064,40.0
43623,-7.572307,33.0
43690,-13.060234,67.0
43724,-7.099757,34.0
43765,-8.546447,41.0
43799,-8.216618,34.0
43837,-9.499142,38.0
43870,-7.393284,33.0
43901,-6.53294,31.0
43948,-11.035846,47.0
43980,-6.883406,32.0
44019,-10.696603,39.0
44072,-11.812253,53.0
44104,-5.853014,32.0
44136,-8.517865,32.0
44229,-15.792147,93.0
44264,-8.150742,35.0
44300,-7.138137,36.0
44352,-10.080668,52.0
44393,-11.311192,41.0
44437,-10.845808,44.0
44476,-10.173024,39.0
44530,-11.921275,54.0
44565,-8.589639,35.0
44765,-37.960952,200.0
44845,-14.019114,80.0
44874,-4.787941,29.0
45074,-39.373639,200.0
45229,-24.05976,155.0
45272,-8.20103,43.0
45303,-5.050087,31.0
45330,-4.737421,27.0
45366,-9.95536,36.0
45439,-16.929798,73.0
45526,-15.865152,87.0
45570,-8.916851,44.0
45609,-10.21116,39.0
45645,-6.81284,36.0
45679,-8.53146,34.0
45712,-7.655259,33.0
45745,-6.466268,33.0
45788,-9.187557,43.0
45833,-11.212542,45.0
45937,-18.950426,104.0
45972,-9.39337,35.0
46012,-9.159856,40.0
46059,-10.480684,47.0
46091,-7.991572,32.0
46137,-11.581554,46.0
46204,-14.980426,67.0
46246,-10.405823,42.0
46287,-11.227063,41.0
46328,-9.668024,41.0
46430,-17.540277,102.0
46508,-14.549278,78.0
46589,-18.697529,81.0
46639,-13.037999,50.0
46702,-12.783979,63.0
46746,-8.741902,44.0
46784,-10.521985,38.0
46822,-10.488184,38.0
46896,-14.859423,74.0
46940,-8.25584,44.0
46972,-8.224399,32.0
47008,-10.898998,36.0
47112,-14.787784,104.0
47152,-11.050377,40.0
47187,-9.619012,35.0
47258,-14.328341,71.0
47317,-12.059921,59.0
47353,-7.917218,36.0
47410,-14.116924,57.0
47449,-10.279314,39.0
47485,-10.775393,36.0
47563,-13.937048,78.0
47606,-10.844185,43.0
47637,-8.519583,31.0
47697,-14.446638,60.0
47731,-9.108824,34.0
47760,-5.099223,29.0
47797,-9.396389,37.0
47831,-9.83635,34.0
47859,-5.641755,28.0
47890,-8.045859,31.0
47946,-11.039254,56.0
48132,-34.881244,186.0
48171,-9.248067,39.0
48203,-7.226765,32.0
48266,-11.827785,63.0
48296,-5.181239,30.0
48347,-9.521999,51.0
48387,-10.357442,40.0
48422,-7.918663,35.0
48456,-7.549921,34.0
48505,-10.12046,49.0
48544,-10.309067,39.0
48577,-5.887525,33.0
48619,-11.946565,42.0
48662,-11.175901,43.0
48710,-9.63926,48.0
48748,-10.038859,38.0
48789,-10.132024,41.0
48825,-10.803464,36.0
48879,-10.517858,54.0
48915,-7.364078,36.0
48955,-9.828165,40.0
49008,-15.36074,53.0
49071,-9.918799,63.0
49138,-15.660026,67.0
49337,-28.63168,199.0
49537,-84.123783,200.0
49579,-10.887271,42.0
49611,-5.763291,32.0
49653,-10.613943,42.0
49853,-105.716012,200.0
