timesteps,episode_reward,episode_length,success
41712,-8.219994239553097,33,1
41802,-19.800478116021377,90,1
41834,-5.884474367651302,32,1
41892,-9.878317051014628,58,1
41926,-5.497771784897097,34,1
41968,-11.55443737384609,42,1
42005,-9.265434001599642,37,1
42046,-7.877210475005837,41,1
42092,-9.42686461423058,46,1
42142,-8.435652337352918,50,1
42177,-7.696423521147931,35,1
42209,-5.969136628842676,32,1
42267,-8.389319095801081,58,1
42398,-26.68128464561126,131,1
42598,-44.44846282379511,200,0
42655,-10.630804340390142,57,1
42698,-11.598377029690928,43,1
42748,-10.462561120225798,50,1
42792,-7.737335455341187,44,1
42824,-5.791460503084645,32,1
42859,-7.61450313498182,35,1
42909,-11.458367303627764,50,1
42939,-5.035596030874949,30,1
42972,-5.778580071046877,33,1
43009,-5.761922429536275,37,1
43046,-9.934927084333422,37,1
43078,-5.776446991715888,32,1
43112,-7.257576948834455,34,1
43243,-22.443207230981777,131,1
43443,-69.6715812470289,200,0
43485,-9.512921896534358,42,1
43526,-8.512257422016154,41,1
43613,-24.658246953749895,87,1
43647,-7.8622675437015985,34,1
43767,-23.00568632620292,120,1
43796,-5.0103583817762924,29,1
43829,-6.754465563955733,33,1
43864,-8.709604316056827,35,1
44055,-36.79488365019283,191,1
44129,-15.563325607004312,74,1
44177,-11.576403245992438,48,1
44211,-8.90724498054993,34,1
44248,-7.838193980271647,37,1
44287,-9.325937805001873,39,1
44324,-8.458193290308664,37,1
44360,-8.190152108803305,36,1
44395,-6.873880914885209,35,1
44595,-43.04356791136505,200,0
44629,-6.919840932783849,34,1
44667,-8.554689869094894,38,1
44700,-5.692968024503594,33,1
44736,-8.892687970784886,36,1
44770,-6.596206959452006,34,1
44846,-16.30496799522552,76,1
44884,-8.979336099227249,38,1
44922,-7.621913839748805,38,1
44963,-9.814519886949197,41,1
45012,-11.88848226270202,49,1
45067,-12.438816901023902,55,1
45100,-8.631190159712007,33,1
45145,-8.335147280132581,45,1
45184,-10.597868220707198,39,1
45214,-5.1489829351168055,30,1
45247,-6.415116860122019,33,1
45284,-9.393761594514423,37,1
45335,-11.632359753760076,51,1
45386,-10.514901933922111,51,1
45427,-11.76797953578976,41,1
45466,-12.102162008112447,39,1
45499,-7.098684567668235,33,1
45537,-8.467555651898227,38,1
45567,-5.5872972952064455,30,1
45603,-7.794634847745545,36,1
45639,-8.293284309701033,36,1
45839,-45.03453497964465,200,0
45873,-8.16490185232176,34,1
45908,-9.771299408847183,35,1
45940,-6.933968337926997,32,1
45978,-10.056671713151866,38,1
46019,-7.759912304173273,41,1
46076,-11.890595898733888,57,1
46110,-7.98497370267488,34,1
46200,-20.19738476902214,90,1
46235,-7.688288874577024,35,1
46292,-11.643195801046005,57,1
46442,-26.562792249229012,150,1
46472,-5.703665965085689,30,1
46532,-10.700408452875307,60,1
46614,-15.908538998354452,82,1
46645,-5.224017425904469,31,1
46694,-9.437066568072504,49,1
46757,-13.46839336608748,63,1
46787,-5.99503609617023,30,1
46817,-5.876715715786316,30,1
46862,-11.413197507068416,45,1
46914,-11.27687249543161,52,1
46944,-4.812887001880636,30,1
46989,-6.59036453873582,45,1
47022,-5.810213404264536,33,1
47092,-12.80044963405836,70,1
47137,-6.785091390526839,45,1
47198,-13.610991250214825,61,1
47253,-12.582713789228475,55,1
47291,-8.568102428934173,38,1
47491,-37.5439815160847,200,0
47526,-7.880181723215051,35,1
47555,-5.142458521227047,29,1
47604,-10.368114536274852,49,1
47654,-10.103678481270931,50,1
47695,-5.817851989596914,41,1
47738,-6.624812783851777,43,1
47774,-7.061429186016392,36,1
47817,-8.755856629617726,43,1
48017,-42.15955382097457,200,0
48051,-5.957122015402961,34,1
48086,-6.363075179593347,35,1
48134,-10.955572414774625,48,1
48169,-9.034920444989886,35,1
48207,-7.176884615477382,38,1
48250,-10.08910277709164,43,1
48288,-8.856393056380744,38,1
48333,-7.336664563613478,45,1
48394,-12.92649752986801,61,1
48452,-13.041067289515881,58,1
48539,-16.085315505251224,87,1
48583,-7.6666051681127225,44,1
48630,-9.354451710464021,47,1
48669,-8.518178520300134,39,1
48723,-11.125079246379995,54,1
48783,-10.43548363856312,60,1
48841,-9.38419537535593,58,1
48877,-8.377532796876743,36,1
48922,-9.973680873999776,45,1
48961,-9.02580826535027,39,1
49002,-9.544405590494454,41,1
49048,-7.946548600894339,46,1
49095,-10.332228773174618,47,1
49141,-9.541443160178648,46,1
49181,-8.354143556774021,40,1
49217,-7.948763997116412,36,1
49259,-10.352886249565596,42,1
49459,-38.32699791825882,200,0
49509,-11.872633089458711,50,1
49553,-9.971814250469617,44,1
49602,-11.16257250641967,49,1
49654,-12.086874231110071,52,1
49693,-7.118588860490702,39,1
49772,-11.93095028397816,79,1
49812,-6.390638841675898,40,1
49847,-8.401658144438683,35,1
49887,-10.768632135282084,40,1
49959,-13.271444062640542,72,1
49999,-7.858510998132154,40,1
