timesteps,episode_reward,episode_length,success
64074,-67.06120397212692,200,0
64274,-75.59706678583072,200,0
64474,-68.09654110878056,200,0
64509,-10.336637544171156,35,1
64709,-83.09898780672525,200,0
64909,-78.76243892937288,200,0
65109,-77.13208285646193,200,0
65309,-83.15238116670956,200,0
65509,-75.43680673672947,200,0
65709,-68.31369457435419,200,0
65771,-16.1299345988324,62,1
65971,-85.72263837822425,200,0
66171,-94.10240289744965,200,0
66371,-80.19645212052178,200,0
66571,-84.18604339279815,200,0
66771,-83.91234149309774,200,0
66971,-79.54346292083724,200,0
67171,-76.82949084189947,200,0
67371,-81.4413605199168,200,0
67496,-35.51553642477525,125,1
67696,-96.59361493192465,200,0
67896,-77.19594318702768,200,0
68096,-84.20669724941739,200,0
68296,-80.07028396583549,200,0
68333,-10.830152734079364,37,1
68533,-59.07322626016414,200,0
68733,-92.55994312597862,200,0
68775,-14.027264585113317,42,1
68814,-13.162542346012913,39,1
68957,-38.899747849039635,143,1
69157,-89.54613318634408,200,0
69357,-63.94373409639282,200,0
69557,-65.42289739089833,200,0
69595,-12.481222175977278,38,1
69795,-80.82496344561405,200,0
69995,-73.05171663066825,200,0
70195,-82.90095501766524,200,0
70395,-79.81944400607597,200,0
70430,-11.552638911352776,35,1
70630,-73.23219013628899,200,0
70830,-96.54590662989621,200,0
71014,-62.05658765814593,184,1
71214,-66.72871680908766,200,0
71414,-79.39561146539127,200,0
71614,-72.71773888893362,200,0
71814,-64.15349471397461,200,0
71858,-15.545440736994326,44,1
72058,-97.80180865794472,200,0
72258,-72.90108723055229,200,0
72417,-52.71506852192521,159,1
72617,-65.94586480876755,200,0
72817,-83.32046101353004,200,0
73017,-91.07103984491026,200,0
73125,-31.832692402095347,108,1
73325,-66.28750814661876,200,0
73525,-98.64142459387797,200,0
73725,-80.82538339849077,200,0
73829,-28.49921389956262,104,1
74029,-72.65929810398121,200,0
74229,-70.5864140748974,200,0
74429,-65.67187069964007,200,0
74518,-22.618219276683234,89,1
74718,-90.22562888398855,200,0
74918,-72.8417406876119,200,0
75118,-78.80079174800942,200,0
75318,-75.39637849851918,200,0
75518,-70.37595550215583,200,0
75547,-4.896195362618247,29,1
75747,-58.08045130440126,200,0
75947,-80.74162147800561,200,0
76147,-81.29454978677059,200,0
76231,-23.74671671851143,84,1
76367,-36.176713572462006,136,1
76398,-5.891924176802162,31,1
76432,-8.7553801474679,34,1
76478,-14.293081691932125,46,1
76678,-79.15185550597572,200,0
76878,-57.07275547507007,200,0
77078,-72.12913565224527,200,0
77278,-70.48873657950246,200,0
77478,-79.41043102819712,200,0
77678,-68.5114746102639,200,0
77878,-77.20171339021651,200,0
78078,-71.40387830132045,200,0
78278,-94.07215812072387,200,0
78478,-82.21083204475084,200,0
78678,-62.15508762366608,200,0
78878,-84.15587984555066,200,0
78921,-15.032457277457988,43,1
79121,-62.16311985576331,200,0
79154,-7.87551633580493,33,1
79354,-91.27964696093322,200,0
79517,-41.19392091577205,163,1
79554,-8.719799761742912,37,1
79586,-7.445146578414784,32,1
79786,-72.08618233448122,200,0
79986,-73.32340903951122,200,0
80186,-85.47016665144228,200,0
80386,-72.68372591082067,200,0
80586,-76.05735084509965,200,0
80786,-65.8228325039508,200,0
80986,-80.69405406857047,200,0
81186,-69.0120695047475,200,0
81216,-5.578246829264236,30,1
81331,-33.25722573727234,115,1
81531,-73.42728851448135,200,0
81581,-12.629807742963441,50,1
81713,-36.44191381247921,132,1
81913,-70.37902840915318,200,0
82113,-87.85360683195994,200,0
